Stations_ID;Von_Datum;Bis_Datum;Stationsname;Parameter;Parameterbeschreibung;Einheit;Datenquelle (Strukturversion=SV);Zusatz-Info;Besonderheiten;Literaturhinweis;eor;
722;18960101;19450228;Brocken;MO_FK;Monatsmittel der Windstärke in Bft;Bft;KLIDADIGI: Klimadaten nacherfasst (3 Termine:  07, 14, 21 MOZ und Tageswerte);arithm.Mittel aus Tagesmittelwerten;;;eor;
722;19510101;19661231;Brocken;MO_FK;Monatsmittel der Windstärke in Bft;Bft;Klimadaten aus der Klimaroutine des eMD, basierend auf den drei Klimaterminen (Termine  07, 14, 21 MOZ und Tageswerte);arithm.Mittel aus Tagesmittelwerten;;;eor;
722;19670101;19901231;Brocken;MO_FK;Monatsmittel der Windstärke in Bft;Bft;Klimadaten aus der Klimaroutine des eMD. Terminwerte basierend auf Daten der synoptischen Haupttermine (00,06,12,18 UTC) und Tageswerte, sowie Klimadaten nacherfasst im Rahmen des Projektes KLIDADIGI zu unterschiedlichen Zeiträumen.;arithm.Mittel aus Tagesmittelwerten;;;eor;
722;19910101;20010331;Brocken;MO_FK;Monatsmittel der Windstärke in Bft;Bft;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));arithm.Mittel aus Tagesmittelwerten;;;eor;
722;20010401;20200531;Brocken;MO_FK;Monatsmittel der Windstärke in Bft;Bft;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);arithm.Mittel aus Tagesmittelwerten;;;eor;
722;18960101;19450228;Brocken;MO_N;Monatsmittel des Bedeckunsgrades;Achtel;KLIDADIGI: Klimadaten nacherfasst (3 Termine:  07, 14, 21 MOZ und Tageswerte);arithm.Mittel aus Tagesmittelwerten;;;eor;
722;19510101;19661231;Brocken;MO_N;Monatsmittel des Bedeckunsgrades;Achtel;Klimadaten aus der Klimaroutine des eMD, basierend auf den drei Klimaterminen (Termine  07, 14, 21 MOZ und Tageswerte);arithm.Mittel aus Tagesmittelwerten;;;eor;
722;19670101;19901231;Brocken;MO_N;Monatsmittel des Bedeckunsgrades;Achtel;Klimadaten aus der Klimaroutine des eMD. Terminwerte basierend auf Daten der synoptischen Haupttermine (00,06,12,18 UTC) und Tageswerte, sowie Klimadaten nacherfasst im Rahmen des Projektes KLIDADIGI zu unterschiedlichen Zeiträumen.;arithm.Mittel aus Tagesmittelwerten;;;eor;
722;19910101;20010331;Brocken;MO_N;Monatsmittel des Bedeckunsgrades;Achtel;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));arithm.Mittel aus Tagesmittelwerten;;;eor;
722;20010401;20200531;Brocken;MO_N;Monatsmittel des Bedeckunsgrades;Achtel;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);arithm.Mittel aus Tagesmittelwerten;;;eor;
