Stations_ID;Von_Datum;Bis_Datum;Stationsname;Parameter;Parameterbeschreibung;Einheit;Datenquelle (Strukturversion=SV);Zusatz-Info;Besonderheiten;Literaturhinweis;eor;
5705;19470101;20010331;Würzburg;MO_FK;Monatsmittel der Windstärke in Bft;Bft;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));arithm.Mittel aus Tagesmittelwerten;;;eor;
5705;20010401;20200531;Würzburg;MO_FK;Monatsmittel der Windstärke in Bft;Bft;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);arithm.Mittel aus Tagesmittelwerten;;;eor;
5705;19470101;20010331;Würzburg;MO_N;Monatsmittel des Bedeckunsgrades;Achtel;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));arithm.Mittel aus Tagesmittelwerten;;;eor;
5705;20010401;20200531;Würzburg;MO_N;Monatsmittel des Bedeckunsgrades;Achtel;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);arithm.Mittel aus Tagesmittelwerten;;;eor;
5705;19470101;20010331;Würzburg;MO_RR;Monatssumme der Niederschlagshoehe;mm;Niederschlagsdaten aus Niederschlagsroutine des DWD oder Vorgängerdienste bis Einrichtung Nst(A) oder Nst(k) (1 Termin ca 7 MOZ und Tagessummen);Summe aus Tagessummen;;;eor;
5705;20010401;20200531;Würzburg;MO_RR;Monatssumme der Niederschlagshoehe;mm;Niederschlagsdaten aus Niederschlagsroutine nach 01.04.2001 Terminwert und Tagessummen generiert aus SYNOP-Meldung des 06 UTC Termins;Summe aus Tagessummen;;;eor;
5705;19470101;20010331;Würzburg;MO_SD_S;Monatssumme der Sonnenscheindauer;Stunde;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));Summe aus Tagessummen;;;eor;
5705;20010401;20200531;Würzburg;MO_SD_S;Monatssumme der Sonnenscheindauer;Stunde;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);Summe aus Tagessummen;;;eor;
5705;19470401;20010331;Würzburg;MO_TN;Monatsmittel des Lufttemperatur Minimums;°C;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));arithm.Mittel aus Tages-Extremen;;;eor;
5705;20010401;20200531;Würzburg;MO_TN;Monatsmittel des Lufttemperatur Minimums;°C;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);arithm.Mittel aus Tages-Extremen;;;eor;
5705;19460801;19461231;Würzburg;MO_TT;Monatsmittel der Lufttemperatur in 2m Hoehe;°C;Monatswerte (Messnetz=4) ohne Tageswerte.;arithm.Mittel aus Tagesmittelwerten;;;eor;
5705;19470101;20010331;Würzburg;MO_TT;Monatsmittel der Lufttemperatur in 2m Hoehe;°C;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));arithm.Mittel aus Tagesmittelwerten;;;eor;
5705;20010401;20200531;Würzburg;MO_TT;Monatsmittel der Lufttemperatur in 2m Hoehe;°C;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);arithm.Mittel aus Tagesmittelwerten;;;eor;
5705;18810101;19461231;Würzburg;MO_TX;Monatsmittel des Lufttemperatur Maximums;°C;Monatswerte (Messnetz=4) ohne Tageswerte.;arithm.Mittel aus Tages-Extremen;;;eor;
5705;19470401;20010331;Würzburg;MO_TX;Monatsmittel des Lufttemperatur Maximums;°C;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));arithm.Mittel aus Tages-Extremen;;;eor;
5705;20010401;20200531;Würzburg;MO_TX;Monatsmittel des Lufttemperatur Maximums;°C;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);arithm.Mittel aus Tages-Extremen;;;eor;
5705;19710101;20010331;Würzburg;MX_FX;Absolutes Maximum der Windmaxspitze;m/s;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));Extrema des Monats;;;eor;
5705;20010401;20200622;Würzburg;MX_FX;Absolutes Maximum der Windmaxspitze;m/s;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);Extrema des Monats;;;eor;
5705;19470101;20010331;Würzburg;MX_RS;Maximale Niederschlagshoehe des Monats;mm;Niederschlagsdaten aus Niederschlagsroutine des DWD oder Vorgängerdienste bis Einrichtung Nst(A) oder Nst(k) (1 Termin ca 7 MOZ und Tagessummen);Extrema des Monats;;;eor;
5705;20010401;20200622;Würzburg;MX_RS;Maximale Niederschlagshoehe des Monats;mm;Niederschlagsdaten aus Niederschlagsroutine nach 01.04.2001 Terminwert und Tagessummen generiert aus SYNOP-Meldung des 06 UTC Termins;Extrema des Monats;;;eor;
5705;19470401;20010331;Würzburg;MX_TN;Absolutes Minimum der Lufttemperatur in 2m Hoehe;°C;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));Extrema des Monats;;;eor;
5705;20010401;20200622;Würzburg;MX_TN;Absolutes Minimum der Lufttemperatur in 2m Hoehe;°C;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);Extrema des Monats;;;eor;
5705;19470401;20010331;Würzburg;MX_TX;Absolutes Maximum  der Lufttemperatur in 2m Hoehe;°C;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK));Extrema des Monats;;;eor;
5705;20010401;20200622;Würzburg;MX_TX;Absolutes Maximum  der Lufttemperatur in 2m Hoehe;°C;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);Extrema des Monats;;;eor;
Legende: FT  = Folgetag; GZ = Gesetzliche Zeit
generiert: 23.06.2020 --  Deutscher Wetterdienst  --
